GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
14372	Q8TDV5	ATWCWUVYNZSTIK-UHFFFAOYSA-N	Activity	95	95	%	20227877												
18440	Q8TDV5	AZRVSANIIWCDJQ-UHFFFAOYSA-N	Activity	132	132	%	22061639												
24816	Q8TDV5	BIXKSWBUHPYYET-UHFFFAOYSA-N	Activity	68	68	%	22061639												
25662	Q8TDV5	BKCLNIGTOQSNPO-AZUAARDMSA-N	Activity	39	39	%	22061639												
29113	Q8TDV5	BOSVYVGSGZEAPB-VQTJNVASSA-N	Activity	139	139	%	22061639												
46755	Q8TDV5	COLFJIUDIQYQTR-UHFFFAOYSA-N	Activity	10	0	%	20227877												
57441	Q8TDV5	DDTGIEYQMKXYDD-UHFFFAOYSA-N	Activity	10	0	%	21273063												
77454	Q8TDV5	FFVOALNBSADVPY-RBUKOAKNSA-N	Activity	78	78	%	22061639												
79906	Q8TDV5	FJNRWWDXXUTTCY-UHFFFAOYSA-N	Activity	112	112	%	20227877												
87486	Q8TDV5	FUJXWKOVWJJEIM-LEWJYISDSA-N	Activity	85	85	%	22061639												
122010	Q8TDV5	HREXSEDWNZLPCX-UHFFFAOYSA-N	Activity	75	75	%	22061639												
124546	Q8TDV5	HURJLSALROQLKR-UHFFFAOYSA-N	Activity	83	83	%	22061639												
129071	Q8TDV5	IBGMGRIUOXKFRJ-UHFFFAOYSA-N	Activity	69	69	%	20227877												
131838	Q8TDV5	IFGKACWCWSTXBV-LEWJYISDSA-N	Activity	123	123	%	22061639												
131839	Q8TDV5	IFGKACWCWSTXBV-RTWAWAEBSA-N	Activity	104	104	%	22061639												
140712	Q8TDV5	ISIGLWUEDMGLON-UHFFFAOYSA-N	Activity	164	164	%	20227877												
148984	Q8TDV5	JEMAKXAATWANMD-HLVPYZJISA-N	Activity	29	29	%	21536438												
149921	Q8TDV5	JFTWHNDQPJLOQP-UHFFFAOYSA-N	Activity	79	79	%	22061639												
150922	Q8TDV5	JHFKKMFMYPSKOV-UHFFFAOYSA-N	Activity	112	112	%	20227877												
168089	Q8TDV5	KFTQZCZUPNYDBE-UHFFFAOYSA-N	Activity	75	75	%	20227877												
175420	Q8TDV5	KQDXJXBNFWWGIY-UHFFFAOYSA-N	Activity	186	186	%	20227877												
177454	Q8TDV5	KSWQJRFAXXWGKR-UHFFFAOYSA-N	Activity	165	165	%	20227877												
188010	Q8TDV5	LHZWKWCEAXQUMX-UHFFFAOYSA-N	Activity	0.63	0.63	uM	25455488												
188010	Q8TDV5	LHZWKWCEAXQUMX-UHFFFAOYSA-N	Activity	85	85	%	25455488												
207721	Q8TDV5	MKNCGRCCAUELJE-UHFFFAOYSA-N	Activity	100	100	%	21536438												
212894	Q8TDV5	MSBKDDLMQUUQDX-UHFFFAOYSA-N	Activity	93	93	%	20227877												
213736	Q8TDV5	MTJFPNPDPMDLQJ-FCHUYYIVSA-N	Activity	84	84	%	22061639												
